customer_id,first_purchase_date,last_purchase_date,tenure_days,days_since_last_purchase,churn_flag
12391,2010-02-15,2011-11-18,641,21,0
12392,2010-04-27,2010-04-27,0,591,1
12393,2010-10-07,2011-09-28,356,72,0
12394,2011-05-06,2011-10-07,154,63,0
12395,2010-04-16,2011-11-20,583,19,0
12396,2010-02-03,2010-02-03,0,674,1
12397,2011-07-27,2011-11-04,100,35,0
12398,2011-10-25,2011-10-25,0,45,0
12399,2010-03-05,2011-08-12,525,119,1
12400,2010-10-21,2010-10-21,0,414,1
12401,2011-02-09,2011-02-09,0,303,1
12402,2010-02-07,2011-01-20,347,323,1
12403,2010-07-06,2011-10-21,472,49,0
12404,2010-01-26,2010-01-26,0,682,1
12405,2011-07-14,2011-07-14,0,148,1
12406,2010-01-11,2011-11-17,675,22,0
12407,2011-03-20,2011-10-21,215,49,0
12408,2010-07-29,2011-11-07,466,32,0
12409,2010-05-23,2011-09-22,487,78,0
12410,2010-07-25,2011-02-04,194,308,1
12411,2010-10-26,2010-10-26,0,409,1
12412,2010-06-18,2011-09-26,465,74,0
12413,2010-11-02,2011-10-04,336,66,0
12414,2010-09-02,2011-05-06,246,217,1
12415,2010-06-30,2011-11-15,503,24,0
12416,2010-02-21,2010-02-21,0,656,1
12417,2009-12-06,2011-12-06,730,3,0
12418,2010-03-19,2011-08-19,518,112,1
12419,2010-10-22,2010-11-19,28,385,1
12420,2011-10-07,2011-10-07,0,63,0
12421,2010-07-22,2011-11-24,490,15,0
12422,2009-12-18,2011-09-05,626,95,1
12423,2010-08-31,2011-12-09,465,0,0
12424,2010-06-09,2011-06-30,386,162,1
12425,2010-09-17,2011-09-22,370,78,0
12426,2010-02-15,2011-05-29,468,194,1
12427,2010-12-03,2011-11-18,350,21,0
12428,2011-03-01,2011-11-14,258,25,0
12429,2010-06-11,2011-11-30,537,9,0
12430,2011-10-27,2011-10-27,0,43,0
12431,2010-01-15,2011-11-04,658,35,0
12432,2011-06-20,2011-10-28,130,42,0
12433,2010-08-20,2011-12-09,476,0,0
12434,2010-11-23,2011-09-16,297,84,0
12435,2009-12-02,2011-09-21,658,79,0
12436,2011-09-01,2011-09-01,0,99,1
12437,2009-12-02,2011-12-08,736,1,0
12438,2011-07-22,2011-11-25,126,14,0
12439,2009-12-14,2010-01-26,43,682,1
12440,2009-12-22,2010-09-03,255,462,1
12441,2010-12-08,2010-12-08,0,366,1
12442,2011-12-06,2011-12-06,0,3,0
12443,2009-12-07,2009-12-07,0,732,1
12444,2011-06-21,2011-11-18,150,21,0
12445,2010-10-15,2011-11-17,398,22,0
12446,2011-10-13,2011-10-13,0,57,0
12447,2011-04-10,2011-04-10,0,243,1
12448,2011-10-26,2011-10-26,0,44,0
12449,2010-09-27,2011-11-17,416,22,0
12450,2010-08-22,2011-07-06,318,156,1
12451,2010-06-28,2011-11-29,519,10,0
12452,2011-11-23,2011-11-23,0,16,0
12453,2011-07-28,2011-07-28,0,134,1
12454,2010-10-14,2011-10-14,365,56,0
12455,2009-12-18,2011-09-27,648,73,0
12456,2011-03-30,2011-10-26,210,44,0
12457,2010-09-30,2011-10-04,369,66,0
12458,2010-08-09,2011-09-29,416,71,0
12459,2010-04-13,2010-04-13,0,605,1
12460,2010-09-09,2010-09-09,0,456,1
12461,2011-07-08,2011-09-06,60,94,1
12462,2011-02-09,2011-11-21,285,18,0
12463,2011-04-12,2011-10-17,188,53,0
12464,2011-02-03,2011-11-29,299,10,0
12465,2011-06-23,2011-11-22,152,17,0
12466,2010-01-26,2010-01-26,0,682,1
12467,2010-10-12,2010-10-12,0,423,1
12468,2010-01-26,2011-06-05,495,187,1
12469,2010-06-21,2010-07-05,14,522,1
12470,2010-01-19,2010-01-19,0,689,1
12471,2009-12-07,2011-12-07,730,2,0
12472,2009-12-14,2011-11-07,693,32,0
12473,2011-06-01,2011-11-10,162,29,0
12474,2010-02-11,2011-11-22,649,17,0
12475,2010-10-26,2011-10-17,356,53,0
12476,2010-07-26,2011-11-24,486,15,0
12477,2010-03-26,2011-11-17,601,22,0
12478,2011-12-06,2011-12-06,0,3,0
12479,2011-11-28,2011-11-28,0,11,0
12480,2010-07-20,2011-11-11,479,28,0
12481,2010-04-11,2011-11-17,585,22,0
12482,2010-02-24,2010-05-12,77,576,1
12483,2010-01-31,2011-11-22,660,17,0
12484,2010-01-27,2011-11-07,649,32,0
12485,2010-06-28,2010-06-28,0,529,1
12486,2010-10-04,2010-10-04,0,431,1
12487,2009-12-09,2009-12-09,0,730,1
12488,2011-09-25,2011-11-30,66,9,0
12489,2011-01-07,2011-01-07,0,336,1
12490,2009-12-01,2011-12-04,733,5,0
12491,2011-11-01,2011-11-01,0,38,0
12492,2010-11-01,2011-10-07,340,63,0
12493,2011-05-26,2011-06-27,32,165,1
12494,2010-05-12,2011-11-24,561,15,0
12495,2010-03-09,2010-03-09,0,640,1
12496,2010-03-29,2010-03-29,0,620,1
12497,2010-03-05,2011-09-19,563,81,0
12498,2011-10-13,2011-11-18,36,21,0
12499,2010-05-28,2010-05-28,0,560,1
12500,2010-02-04,2011-11-16,650,23,0
12501,2011-01-07,2011-01-07,0,336,1
12502,2011-02-03,2011-09-05,214,95,1
12503,2010-05-04,2010-05-04,0,584,1
12504,2010-04-22,2011-11-21,578,18,0
12505,2010-10-27,2010-10-27,0,408,1
12506,2011-04-21,2011-04-21,0,232,1
12507,2010-05-04,2011-07-28,450,134,1
12508,2011-11-10,2011-11-13,3,26,0
12509,2011-02-28,2011-02-28,0,284,1
12510,2009-12-04,2011-07-20,593,142,1
12511,2010-10-07,2010-10-07,0,428,1
12512,2011-10-04,2011-10-04,0,66,0
12513,2011-08-19,2011-08-19,0,112,1
12514,2010-03-08,2011-03-17,374,267,1
12515,2010-12-21,2010-12-21,0,353,1
12516,2010-04-19,2011-09-23,522,77,0
12517,2011-06-02,2011-11-11,162,28,0
12518,2011-08-21,2011-12-09,110,0,0
12519,2010-08-20,2011-10-07,413,63,0
12520,2011-03-11,2011-09-21,194,79,0
12521,2011-07-20,2011-07-20,0,142,1
12522,2011-10-19,2011-10-31,12,39,0
12523,2009-12-07,2011-11-20,713,19,0
12524,2010-02-08,2011-11-30,660,9,0
12525,2010-03-02,2010-07-29,149,498,1
12526,2011-09-06,2011-12-09,94,0,0
12527,2010-06-28,2011-09-19,448,81,0
12528,2011-01-31,2011-11-30,303,9,0
12529,2010-06-29,2010-06-29,0,528,1
12530,2010-03-07,2011-10-11,583,59,0
12531,2010-01-22,2011-11-25,672,14,0
12532,2011-11-09,2011-11-09,0,30,0
12533,2009-12-01,2010-03-22,111,627,1
12534,2011-08-01,2011-08-01,0,130,1
12535,2011-06-06,2011-09-09,95,91,1
12536,2011-10-11,2011-10-27,16,43,0
12537,2010-10-27,2010-10-27,0,408,1
12538,2010-11-26,2011-11-10,349,29,0
12539,2009-12-23,2011-11-17,694,22,0
12540,2009-12-07,2011-11-20,713,19,0
12541,2011-03-04,2011-11-10,251,29,0
12542,2010-03-09,2010-08-12,156,484,1
12543,2010-09-17,2010-09-17,0,448,1
12544,2011-11-03,2011-11-03,0,36,0
12545,2011-03-25,2011-09-25,184,75,0
12546,2011-09-23,2011-10-24,31,46,0
12547,2010-07-27,2011-05-26,303,197,1
12548,2011-06-26,2011-06-26,0,166,1
12549,2010-01-11,2010-05-13,122,575,1
12550,2011-09-21,2011-09-21,0,79,0
12551,2010-12-17,2010-12-17,0,357,1
12552,2011-10-31,2011-11-01,1,38,0
12553,2010-10-12,2011-12-01,415,8,0
12554,2010-09-17,2010-09-17,0,448,1
12555,2010-01-26,2010-01-26,0,682,1
12556,2011-07-11,2011-10-20,101,50,0
12557,2009-12-17,2011-11-23,706,16,0
12558,2011-12-02,2011-12-02,0,7,0
12559,2011-01-24,2011-02-02,9,310,1
12560,2011-07-19,2011-12-04,138,5,0
12561,2011-02-10,2011-02-10,0,302,1
12562,2010-09-30,2011-12-01,427,8,0
12563,2010-10-27,2010-10-27,0,408,1
12564,2011-03-23,2011-03-23,0,261,1
12565,2011-02-24,2011-02-24,0,288,1
12566,2011-09-14,2011-09-14,0,86,0
12567,2010-02-11,2011-11-17,644,22,0
12568,2010-03-05,2010-03-05,0,644,1
12569,2011-04-01,2011-12-07,250,2,0
12570,2010-01-26,2010-01-26,0,682,1
12571,2011-08-10,2011-10-31,82,39,0
12572,2011-10-19,2011-12-01,43,8,0
12573,2010-08-31,2011-04-26,238,227,1
12574,2011-01-28,2011-01-28,0,315,1
12575,2010-07-01,2010-09-08,69,457,1
12576,2010-07-01,2011-11-04,491,35,0
12577,2009-12-03,2011-11-04,701,35,0
12578,2010-09-22,2011-11-18,422,21,0
12579,2011-09-22,2011-09-22,0,78,0
12580,2010-05-12,2011-04-07,330,246,1
12581,2011-10-31,2011-10-31,0,39,0
12582,2010-05-11,2011-04-15,339,238,1
12583,2009-12-06,2011-12-07,731,2,0
12584,2011-03-04,2011-12-06,277,3,0
12585,2010-12-23,2011-04-19,117,234,1
12586,2009-12-16,2011-11-22,706,17,0
12587,2011-12-02,2011-12-02,0,7,0
12588,2010-04-21,2011-10-31,558,39,0
12589,2010-01-19,2011-11-11,661,28,0
12590,2011-05-12,2011-05-12,0,211,1
12591,2010-10-27,2011-01-26,91,317,1
12592,2010-07-08,2011-09-08,427,92,1
12593,2011-05-05,2011-08-23,110,108,1
12594,2010-03-03,2011-11-02,609,37,0
12595,2010-07-23,2010-07-23,0,504,1
12596,2011-04-11,2011-10-19,191,51,0
12597,2011-03-16,2011-11-20,249,19,0
12598,2010-03-01,2011-11-30,639,9,0
12599,2010-05-11,2011-11-10,548,29,0
12600,2009-12-07,2011-11-11,704,28,0
12601,2010-10-31,2011-06-03,215,189,1
12602,2011-10-12,2011-10-12,0,58,0
12603,2011-11-18,2011-11-18,0,21,0
12604,2011-03-23,2011-09-21,182,79,0
12605,2010-09-07,2010-11-28,82,376,1
12606,2010-01-26,2010-01-26,0,682,1
12607,2011-10-10,2011-10-10,0,60,0
12608,2010-10-31,2010-10-31,0,404,1
12609,2009-12-20,2011-09-22,641,78,0
12610,2011-08-05,2011-11-17,104,22,0
12611,2011-10-18,2011-10-18,0,52,0
12612,2011-09-26,2011-09-26,0,74,0
12613,2009-12-14,2011-10-13,668,57,0
12614,2011-03-07,2011-03-07,0,277,1
12615,2010-03-18,2011-12-07,629,2,0
12616,2010-11-16,2011-09-05,293,95,1
12617,2011-11-10,2011-11-10,0,29,0
12618,2011-11-18,2011-11-18,0,21,0
12619,2010-05-28,2011-11-23,544,16,0
12620,2011-05-19,2011-11-25,190,14,0
12621,2010-02-09,2011-12-08,667,1,0
12622,2011-04-21,2011-04-21,0,232,1
12623,2010-01-12,2011-03-08,420,276,1
12624,2011-06-15,2011-08-25,71,106,1
12625,2010-04-22,2011-05-12,385,211,1
12626,2011-01-17,2011-11-16,303,23,0
12627,2011-07-22,2011-11-29,130,10,0
12628,2011-10-06,2011-12-05,60,4,0
12629,2010-10-12,2010-11-19,38,385,1
12630,2011-10-27,2011-11-30,34,9,0
12631,2010-01-15,2011-10-13,636,57,0
12632,2010-05-24,2010-07-07,44,520,1
12633,2010-07-02,2011-10-12,467,58,0
12634,2010-06-09,2010-06-22,13,535,1
12635,2010-09-09,2011-09-11,367,89,0
12636,2009-12-01,2009-12-01,0,738,1
12637,2010-06-14,2011-10-03,476,67,0
12638,2010-03-10,2011-11-06,606,33,0
12639,2010-03-22,2011-04-15,389,238,1
12640,2011-09-19,2011-11-16,58,23,0
12641,2011-08-16,2011-08-16,0,115,1
12642,2011-08-24,2011-11-14,82,25,0
12643,2010-04-07,2011-08-03,483,128,1
12644,2010-01-14,2011-08-02,565,129,1
12645,2010-02-09,2011-11-06,635,33,0
12646,2011-10-21,2011-12-05,45,4,0
12647,2010-01-13,2011-11-17,673,22,0
12648,2010-01-07,2011-07-08,547,154,1
12649,2010-01-12,2011-08-24,589,107,1
12650,2011-12-06,2011-12-06,0,3,0
12651,2010-08-31,2011-01-09,131,334,1
12652,2010-10-01,2011-01-12,103,331,1
12653,2010-07-01,2011-07-14,378,148,1
12654,2011-02-17,2011-11-29,285,10,0
12655,2010-10-12,2010-10-12,0,423,1
12656,2010-05-26,2011-11-22,545,17,0
12657,2011-09-22,2011-11-28,67,11,0
12658,2011-11-21,2011-11-21,0,18,0
12659,2011-11-10,2011-11-10,0,29,0
12660,2011-11-28,2011-11-28,0,11,0
12661,2010-09-29,2010-09-29,0,436,1
12662,2010-04-01,2011-12-09,617,0,0
12663,2010-02-09,2010-03-25,44,624,1
12664,2009-12-13,2011-12-01,718,8,0
12665,2010-02-08,2011-01-19,345,324,1
12666,2010-11-10,2010-11-10,0,394,1
12667,2011-10-12,2011-10-12,0,58,0
12668,2010-01-31,2011-11-28,666,11,0
12669,2011-03-28,2011-07-12,106,150,1
12670,2010-02-11,2011-11-29,656,10,0
12671,2010-04-12,2010-04-12,0,606,1
12672,2010-04-23,2011-01-14,266,329,1
12673,2010-11-03,2011-12-04,396,5,0
12674,2011-05-16,2011-11-01,169,38,0
12675,2010-05-10,2010-06-04,25,553,1
12676,2010-08-13,2011-11-15,459,24,0
12677,2010-02-11,2010-06-02,111,555,1
12678,2010-01-07,2011-10-28,659,42,0
12679,2011-03-01,2011-10-12,225,58,0
12680,2011-08-18,2011-12-09,113,0,0
12681,2009-12-13,2011-11-25,712,14,0
12682,2009-12-01,2011-12-06,735,3,0
12683,2009-12-13,2011-12-05,722,4,0
12684,2011-05-10,2011-12-02,206,7,0
12685,2011-09-07,2011-11-11,65,28,0
12686,2010-12-03,2010-12-03,0,371,1
12687,2010-08-16,2010-08-16,0,480,1
12688,2011-08-18,2011-08-18,0,113,1
12689,2011-08-04,2011-11-14,102,25,0
12690,2011-05-18,2011-05-18,0,205,1
12691,2010-10-15,2011-11-11,392,28,0
12692,2010-03-12,2010-03-12,0,637,1
12693,2010-07-05,2011-08-04,395,127,1
12694,2010-10-14,2011-09-30,351,70,0
12695,2010-02-12,2011-12-02,658,7,0
12696,2010-07-19,2010-10-01,74,434,1
12697,2011-06-23,2011-11-11,141,28,0
12698,2010-04-28,2010-04-28,0,590,1
12699,2010-10-18,2010-10-18,0,417,1
12700,2011-05-08,2011-12-02,208,7,0
12701,2010-03-16,2011-09-21,554,79,0
12702,2011-11-20,2011-11-20,0,19,0
12703,2010-01-24,2011-09-29,613,71,0
12704,2011-06-23,2011-12-02,162,7,0
12705,2010-06-24,2011-11-24,518,15,0
12707,2011-02-21,2011-02-21,0,291,1
12708,2009-12-18,2011-11-10,692,29,0
12709,2009-12-09,2011-11-24,715,15,0
12710,2011-05-22,2011-09-04,105,96,1
12711,2010-02-01,2010-04-07,65,611,1
12712,2009-12-09,2011-11-11,702,28,0
12713,2011-12-09,2011-12-09,0,0,0
12714,2009-12-04,2011-11-30,726,9,0
12715,2011-08-25,2011-08-25,0,106,1
12716,2011-07-29,2011-12-06,130,3,0
12717,2010-04-28,2011-07-11,439,151,1
12718,2011-09-29,2011-09-29,0,71,0
12719,2011-10-05,2011-12-04,60,5,0
12720,2010-07-21,2011-12-07,504,2,0
12721,2010-08-25,2011-11-08,440,31,0
12722,2011-07-12,2011-09-15,65,85,0
12723,2011-10-05,2011-12-06,62,3,0
12724,2010-06-22,2011-12-04,530,5,0
12725,2010-05-04,2010-12-03,213,371,1
12726,2010-03-25,2011-11-11,596,28,0
12727,2010-02-23,2011-11-29,644,10,0
12728,2010-11-21,2011-09-29,312,71,0
12729,2011-08-18,2011-08-18,0,113,1
12730,2010-07-06,2010-07-06,0,521,1
12731,2010-03-02,2011-11-16,624,23,0
12732,2011-06-13,2011-06-13,0,179,1
12733,2010-01-19,2011-04-19,455,234,1
12734,2010-11-12,2010-12-22,40,352,1
12735,2011-01-06,2011-01-28,22,315,1
12736,2011-01-11,2011-01-11,0,332,1
12737,2010-07-29,2010-07-29,0,498,1
12738,2010-12-02,2010-12-02,0,372,1
12739,2010-11-10,2011-09-22,316,78,0
12740,2011-10-07,2011-10-07,0,63,0
12741,2010-06-24,2010-06-28,4,529,1
12742,2010-03-24,2010-03-24,0,625,1
12743,2011-07-28,2011-07-28,0,134,1
12744,2010-04-27,2011-10-19,540,51,0
12745,2010-01-26,2010-08-10,196,486,1
12746,2010-06-17,2010-06-17,0,540,1
12747,2009-12-07,2011-12-07,730,2,0
12748,2009-12-04,2011-12-09,735,0,0
12749,2010-07-06,2011-12-06,518,3,0
12750,2011-08-03,2011-08-03,0,128,1
12751,2010-09-21,2010-09-21,0,444,1
12752,2011-09-19,2011-09-19,0,81,0
12753,2010-12-12,2011-11-17,340,22,0
12754,2011-02-04,2011-04-18,73,235,1
12755,2010-01-15,2011-03-04,413,280,1
12756,2011-09-14,2011-09-14,0,86,0
12757,2011-05-12,2011-11-24,196,15,0
12758,2009-12-01,2011-08-15,622,116,1
12759,2009-12-04,2011-10-18,683,52,0
12760,2010-09-10,2010-09-10,0,455,1
12761,2010-09-01,2010-09-08,7,457,1
12762,2011-11-14,2011-12-02,18,7,0
12763,2010-12-05,2011-07-24,231,138,1
12764,2011-01-27,2011-01-27,0,316,1
12765,2010-03-08,2010-08-24,169,472,1
12766,2010-10-28,2011-12-06,404,3,0
12767,2010-11-29,2010-11-29,0,375,1
12768,2010-09-15,2010-09-15,0,450,1
12769,2011-04-15,2011-04-15,0,238,1
12770,2010-09-09,2011-05-13,246,210,1
12771,2010-08-11,2010-08-11,0,485,1
12772,2011-10-11,2011-10-11,0,59,0
12773,2010-05-24,2010-05-24,0,564,1
12774,2010-06-22,2010-06-22,0,535,1
12775,2010-10-26,2011-11-22,392,17,0
12776,2010-02-10,2010-02-10,0,667,1
12777,2010-09-08,2010-09-08,0,457,1
12778,2010-04-16,2011-11-20,583,19,0
12779,2009-12-03,2011-11-02,699,37,0
12780,2010-04-20,2010-04-20,0,598,1
12781,2011-02-28,2011-10-07,221,63,0
12782,2010-07-08,2011-12-05,515,4,0
12783,2011-09-25,2011-12-07,73,2,0
12784,2010-06-28,2011-11-30,520,9,0
12785,2009-12-08,2010-12-10,367,364,1
12786,2010-04-09,2010-04-09,0,609,1
12787,2010-10-22,2011-11-30,404,9,0
12788,2010-06-29,2010-09-02,65,463,1
12789,2010-01-15,2011-10-05,628,65,0
12790,2010-10-25,2011-05-31,218,192,1
12791,2010-03-25,2010-12-01,251,373,1
12792,2010-06-23,2011-03-28,278,256,1
12793,2010-11-03,2011-01-09,67,334,1
12794,2011-09-02,2011-10-17,45,53,0
12795,2011-11-21,2011-11-21,0,18,0
12796,2010-03-21,2010-03-21,0,628,1
12797,2010-10-11,2010-12-09,59,365,1
12798,2010-10-14,2011-11-29,411,10,0
12799,2010-06-28,2010-06-28,0,529,1
12800,2010-02-01,2010-08-26,206,470,1
12801,2010-07-27,2010-07-27,0,500,1
12802,2010-05-25,2011-06-06,377,186,1
12803,2010-11-11,2010-11-11,0,393,1
12804,2010-07-27,2010-08-31,35,465,1
12805,2010-02-03,2010-11-23,293,381,1
12806,2010-04-30,2010-09-30,153,435,1
12807,2010-11-21,2010-11-21,0,383,1
12808,2010-09-03,2011-11-03,426,36,0
12809,2010-03-02,2011-06-15,470,177,1
12810,2010-02-01,2010-06-23,142,534,1
12811,2010-10-08,2011-03-24,167,260,1
12812,2011-10-26,2011-10-26,0,44,0
12813,2010-01-15,2010-07-26,192,501,1
12814,2011-08-30,2011-08-30,0,101,1
12815,2011-05-25,2011-07-15,51,147,1
12816,2011-06-16,2011-09-05,81,95,1
12817,2010-10-01,2011-03-03,153,281,1
12818,2011-03-23,2011-03-23,0,261,1
12819,2010-09-07,2010-09-07,0,458,1
12820,2009-12-05,2011-12-06,731,3,0
12821,2010-04-07,2011-05-09,397,214,1
12822,2011-09-13,2011-09-30,17,70,0
12823,2010-01-29,2011-09-26,605,74,0
12824,2011-10-11,2011-10-11,0,59,0
12825,2010-03-08,2010-07-06,120,521,1
12826,2009-12-18,2011-12-07,719,2,0
12827,2011-10-26,2011-12-04,39,5,0
12828,2011-08-01,2011-12-07,128,2,0
12829,2010-06-07,2011-01-07,214,336,1
12830,2011-06-21,2011-11-02,134,37,0
12831,2010-09-02,2011-03-22,201,262,1
12832,2011-09-02,2011-11-07,66,32,0
12833,2011-07-17,2011-07-17,0,145,1
12834,2011-03-02,2011-03-02,0,282,1
12835,2009-12-03,2010-10-08,309,427,1
12836,2009-12-01,2011-10-11,679,59,0
12837,2010-05-19,2011-06-19,396,173,1
12838,2010-04-26,2011-11-06,559,33,0
12839,2009-12-07,2011-12-07,730,2,0
12840,2010-02-03,2011-07-19,531,143,1
12841,2010-07-08,2011-12-05,515,4,0
12842,2009-12-02,2011-09-30,667,70,0
12843,2009-12-13,2011-10-05,661,65,0
12844,2010-04-25,2011-11-10,564,29,0
12845,2011-02-22,2011-03-17,23,267,1
12846,2010-01-26,2010-01-26,0,682,1
12847,2010-11-17,2011-11-17,365,22,0
12848,2010-02-02,2010-02-02,0,675,1
12849,2010-04-27,2011-11-08,560,31,0
12850,2010-09-20,2010-09-20,0,445,1
12851,2010-08-19,2011-09-04,381,96,1
12852,2011-02-18,2011-02-18,0,294,1
12853,2010-02-05,2011-07-28,538,134,1
12854,2009-12-11,2011-09-22,650,78,0
12855,2010-11-02,2010-12-02,30,372,1
12856,2011-10-07,2011-12-02,56,7,0
12857,2010-01-25,2011-05-13,473,210,1
12858,2010-11-21,2010-11-21,0,383,1
12859,2010-09-07,2010-09-07,0,458,1
12860,2010-01-15,2010-01-15,0,693,1
12861,2010-03-30,2010-03-30,0,619,1
12862,2010-08-01,2010-10-10,70,425,1
12863,2010-04-29,2011-10-18,537,52,0
12864,2010-07-19,2011-07-24,370,138,1
12865,2010-08-20,2011-11-13,450,26,0
12866,2010-07-25,2011-03-01,219,283,1
12867,2009-12-16,2011-11-13,697,26,0
12868,2010-11-12,2011-06-07,207,185,1
12869,2010-01-27,2010-01-27,0,681,1
12870,2010-03-25,2010-11-29,249,375,1
12871,2010-09-26,2011-09-16,355,84,0
12872,2009-12-03,2011-01-17,410,326,1
12873,2010-01-27,2011-03-02,399,282,1
12874,2010-06-03,2010-11-19,169,385,1
12875,2010-01-11,2011-07-19,554,143,1
12876,2010-04-28,2011-10-13,533,57,0
12877,2010-01-18,2011-12-06,687,3,0
12878,2011-03-18,2011-04-17,30,236,1
12879,2011-09-09,2011-10-26,47,44,0
12880,2010-05-14,2010-11-23,193,381,1
12881,2011-03-09,2011-03-09,0,275,1
12882,2011-11-06,2011-11-30,24,9,0
12883,2011-09-11,2011-11-15,65,24,0
12884,2011-09-12,2011-09-12,0,88,0
12885,2011-08-08,2011-10-07,60,63,0
12886,2011-05-04,2011-10-03,152,67,0
12887,2010-11-21,2010-11-21,0,383,1
12888,2011-03-29,2011-05-09,41,214,1
12889,2010-07-25,2010-11-23,121,381,1
12890,2010-11-17,2011-11-15,363,24,0
12891,2010-02-18,2011-06-07,474,185,1
12892,2010-11-08,2010-11-08,0,396,1
12893,2011-11-09,2011-11-09,0,30,0
12894,2010-05-13,2010-05-13,0,575,1
12895,2011-09-14,2011-10-28,44,42,0
12897,2010-06-14,2011-05-19,339,204,1
12898,2010-02-18,2010-09-02,196,463,1
12899,2010-10-22,2010-10-22,0,413,1
12900,2010-10-13,2010-10-13,0,422,1
12901,2011-03-14,2011-12-01,262,8,0
12902,2011-03-20,2011-03-20,0,264,1
12903,2010-10-07,2010-10-07,0,428,1
12904,2011-06-20,2011-11-21,154,18,0
12905,2010-01-26,2010-05-12,106,576,1
12906,2011-09-22,2011-11-28,67,11,0
12907,2010-08-02,2010-11-09,99,395,1
12908,2010-03-19,2011-06-16,454,176,1
12909,2010-02-24,2011-10-31,614,39,0
12910,2010-03-28,2011-11-16,598,23,0
12911,2010-06-06,2010-06-06,0,551,1
12912,2011-10-30,2011-12-07,38,2,0
12913,2009-12-01,2011-12-05,734,4,0
12914,2010-11-04,2010-11-04,0,400,1
12915,2010-04-29,2011-07-14,441,148,1
12916,2010-01-24,2011-07-24,546,138,1
12917,2009-12-09,2011-08-03,602,128,1
12918,2010-03-23,2010-03-23,0,626,1
12919,2011-06-23,2011-12-01,161,8,0
12920,2009-12-14,2011-11-22,708,17,0
12921,2009-12-01,2011-11-30,729,9,0
12922,2011-07-01,2011-07-01,0,161,1
12923,2010-05-13,2011-10-06,511,64,0
12924,2009-12-09,2011-09-12,642,88,0
12925,2010-04-26,2011-12-05,588,4,0
12926,2009-12-14,2010-10-24,314,411,1
12927,2010-11-10,2010-11-10,0,394,1
12928,2010-06-08,2011-11-04,514,35,0
12929,2011-02-01,2011-02-01,0,311,1
12930,2011-06-21,2011-09-22,93,78,0
12931,2009-12-01,2011-11-18,717,21,0
12932,2010-02-10,2010-06-18,128,539,1
12933,2009-12-10,2011-11-15,705,24,0
12934,2009-12-03,2009-12-03,0,736,1
12935,2010-04-11,2011-12-07,605,2,0
12936,2011-09-22,2011-11-22,61,17,0
12937,2009-12-03,2011-11-24,721,15,0
12938,2011-11-14,2011-11-14,0,25,0
12939,2010-01-12,2011-10-06,632,64,0
12940,2011-09-13,2011-10-16,33,54,0
12941,2009-12-15,2009-12-15,0,724,1
12942,2010-12-09,2011-07-31,234,131,1
12943,2010-04-13,2010-05-30,47,558,1
12944,2010-12-20,2011-11-04,319,35,0
12945,2010-02-21,2011-02-24,368,288,1
12946,2010-09-29,2010-09-29,0,436,1
12947,2010-12-01,2011-07-19,230,143,1
12948,2009-12-02,2011-11-23,721,16,0
12949,2009-12-03,2011-11-09,706,30,0
12950,2011-11-15,2011-12-07,22,2,0
12951,2010-01-10,2011-12-01,690,8,0
12952,2011-09-22,2011-12-04,73,5,0
